row,col,full_name,first,last,team,pos,bye,match_score,raw_ocr_last,raw_ocr_team,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_first
4,7,GEORGE KITTLE,GEORGE,KITTLE,SF,TE,14,48.333333333353025,ee IT TLE,,,TE,,rae §
5,0,ZAY FLOWERS,ZAY,FLOWERS,BAL,WR,7,69.56539125919674,OVER,WR,WR,WR,,CALVIN
5,2,TONY POLLARD,TONY,POLLARD,TEN,RB,10,47.65266498859073,in aD,,,RB,,
5,4,DJ MOORE,DJ,MOORE,CHI,WR,5,74.28271818719529,MOORE,-,,WR,,PWAL
5,5,SAM LAPORTA,SAM,LAPORTA,DET,TE,8,55.46450198687932,Me UAPORTAGE,f oe,,TE,,
5,6,GEORGE PICKENS,GEORGE,PICKENS,DAL,WR,10,52.60078778754348,- @in@ 3~,re,,WR,,
5,7,RJ HARVEY,RJ,HARVEY,DEN,RB,12,68.63881502380696,we HARVEY Ae,Wes,S,RB,,the?» ~
5,8,TONY POLLARD,TONY,POLLARD,TEN,RB,10,76.69890695696012,POLLARD,SEN,,RB,,SEN
5,9,CHUBA HUBBARD,CHUBA,HUBBARD,CAR,RB,14,61.97367442567546,BS HUBBARD =m,Rm EE,,RB,4,
6,0,RASHEE RICE,RASHEE,RICE,KC,WR,10,57.04347169655235,ae RICE ae,Fas,,WR,,
6,1,AARON JONES SR.,AARON,JONES SR.,MIN,RB,6,79.41420816854634,ONES,1S,,RB,,ASRONY
6,2,XAVIER WORTHY,XAVIER,WORTHY,KC,WR,10,63.5443792177808,WORTHY,CE,,WR,,CE
6,3,JAYLEN WADDLE,JAYLEN,WADDLE,MIA,WR,12,56.19540284743418,dl isa,,,WR,,leson eam
6,5,JAYLEN WADDLE,JAYLEN,WADDLE,MIA,WR,12,59.477454129485466,SALINE,CLE,,WR,,FLOWERS
6,9,RICKY PEARSALL,RICKY,PEARSALL,SF,WR,14,50.53295001566645,SE WADDLE Sm,,,WR,,
7,2,ROME ODUNZE,ROME,ODUNZE,CHI,WR,5,77.77722365705627,ODUNZE,},,WR,,BYES
