row,col,full_name,first,last,team,pos,bye,is_dst,match_score,use_match,source_last,conf_last,raw_ocr_pos,raw_color_pos,raw_ocr_bye,raw_ocr_last,raw_ocr_team,raw_ocr_first
12,4,DANIEL JONES,DANIEL,JONES,IND,QB,11,False,65.0,True,csv,65.0,QB,QB,14,NE pa,5,NSS
12,5,CHASE MCLAUGHLIN,CHASE,MCLAUGHLIN,TB,K,9,False,125.0,True,csv,125.0,K,K,,MCLAUGHLIN,‘—,
12,6,NEW ENGLAND PATRIOTS,,NEW ENGLAND PATRIOTS,NE,DST,14,True,125.0,True,csv,125.0,T,DST,14,_ NEW ENGLAND,Cs. a,—7“_ 7 .... ¢
12,7,BUFFALO BILLS,,BUFFALO BILLS,BUF,DST,7,True,125.0,True,csv,125.0,DST,DST,7,_BUFFALO BILLS,ear wt,— -_4-
12,8,NAJEE HARRIS,NAJEE,HARRIS,LAC,RB,12,False,107.5,True,csv,107.5,,RB,,AS Arretin,ae,"— — és, Ul a"
12,9,TUA TAGOVAILOA,TUA,TAGOVAILOA,MIA,QB,12,False,62.857142857142854,True,csv,62.857142857142854,RB,,,‘A | oo,staat CURR,ae
13,0,JAKE FERGUSON,JAKE,FERGUSON,DAL,TE,10,False,95.0,True,csv,95.0,S,,10,_ FERGUSUS,2,oe
13,1,BRANDON AIYUK,BRANDON,AIYUK,SF,WR,14,False,74.54545454545455,True,csv,74.54545454545455,,,,KY AID,oe,A GEE CESS S
13,2,RASHOD BATEMAN,RASHOD,BATEMAN,BAL,WR,7,False,82.5,True,csv,82.5,WR,WR,6,SOU tween,=,_—-
13,3,TYLER ALLGEIER,TYLER,ALLGEIER,ATL,RB,5,False,89.44444444444444,True,csv,89.44444444444444,,RB,,"CLE ""Jerome",7” o,eve
13,4,JASON MYERS,JASON,MYERS,SEA,K,8,False,61.36363636363637,True,csv,61.36363636363637,K,K,5,err ~ ee,—] a |,"a,"
13,5,—-._|,—-._|,,,DST,4,False,0.0,False,ocr,0.0,DST,DST,4,,panned,—-._|
13,6,BLAKE CORUM,BLAKE,CORUM,LAR,RB,8,False,130.0,True,csv,130.0,,RB,,_ CORUM,a,
13,7,JAKE BATES,JAKE,BATES,DET,K,8,False,91.66666666666666,True,csv,91.66666666666666,K,K,,tate,cc. =,
13,8,STERLING SHEPARD,STERLING,SHEPARD,TB,WR,9,False,50.0,True,csv,50.0,WR,,,5 FAV AS EAD [Ch],ee,a
13,9,NEW YORK JETS,,NEW YORK JETS,NYJ,DST,9,True,68.47826086956522,True,csv,68.47826086956522,DST,DST,5,- eet tb ORF,are <a,a... 7
14,0,ARIZONA CARDINALS,,ARIZONA CARDINALS,ARI,DST,8,True,107.75862068965517,True,csv,107.75862068965517,,DST,,ari CARDINAL,a7,aenaaeeDb (Cf
14,1,JORDAN LOVE,JORDAN,LOVE,GB,QB,5,False,105.0,True,csv,105.0,,,,7 LOVE i,_,6
14,2,KA'IMI FAIRBAIRN,KA'IMI,FAIRBAIRN,HOU,K,6,False,75.0,True,csv,75.0,K,K,8,rar Cam,,
14,3,DANIEL CARLSON,DANIEL,CARLSON,LV,K,8,False,72.61904761904762,True,csv,72.61904761904762,,K,0,KC i Harriso n,SB oan,PVE «ae _
14,4,TRENT SHERFIELD SR.,TRENT,SHERFIELD SR.,DEN,WR,12,False,72.05882352941177,True,csv,72.05882352941177,WR,WR,,cP AHEED,,vee CES
14,5,KYLE PITTS SR.,KYLE,PITTS SR.,ATL,TE,5,False,71.66666666666666,True,csv,71.66666666666666,TE,,,_ PATS |,a,D> Al -)
14,6,C.J. STROUD,C.J.,STROUD,HOU,QB,6,False,105.0,True,csv,105.0,,,,_ STROUD |,YT,EE
14,7,—,—,,,TE,5,False,0.0,False,ocr,0.0,TE,,5,,FF eee,—
14,8,BHAYSHUL TUTEN,BHAYSHUL,TUTEN,JAC,RB,8,False,62.857142857142854,True,csv,62.857142857142854,WR,,14,| PAB TUN n,,"a,"
14,9,JEROME FORD,JEROME,FORD,CLE,RB,9,False,53.33333333333333,True,csv,53.33333333333333,WR,,,. rv oo on,a e,a
15,0,ROMEO DOUBS,ROMEO,DOUBS,GB,WR,5,False,48.57142857142857,True,csv,48.57142857142857,,,,OU eel Ce,> an,
15,1,CAIRO SANTOS,CAIRO,SANTOS,CHI,K,5,False,71.15384615384616,True,csv,71.15384615384616,,K,,- a L TAs},wit ¥,IF OO
15,2,,,,FG,DST,9,False,0.0,False,ocr,0.0,ST,DST,9,,fg,
15,3,,,,“RT,WR,,False,0.0,False,ocr,0.0,BE,WR,,,“rT,
15,4,",_",",_",,=,TE,14,False,0.0,False,ocr,0.0,TE,TE,14,,=,",_"
15,5,J.J. MCCARTHY,J.J.,MCCARTHY,MIN,QB,6,False,63.8235294117647,True,csv,63.8235294117647,QB,,,an VARTHY ©,—,sl
15,6,AMARI COOPER,AMARI,COOPER,LV,WR,8,False,125.0,True,csv,125.0,,WR,,_ COOPER ©,| ae,Lear ag
15,7,SEATTLE SEAHAWKS,,SEATTLE SEAHAWKS,SEA,DST,8,True,50.16129032258065,True,csv,50.16129032258065,,,,T Ve) Ahavehuail,De,"——,"
15,8,MATT PRATER,MATT,PRATER,FA,K,0,False,61.53846153846154,True,csv,61.53846153846154,,,,Jr irae,_,_ —_—
15,9,4],4],,,K,,False,0.0,False,ocr,0.0,K,,,,seeeten,4]
